title,author,issued,spatial,subject,Thesis_File,inGroup
"('Vergrijzen in de grote stad',)","('Frank Studulski', 'Hidde Toet')","('juli 1988',)","('grote steden', 'vier grote steden', 'Amsterdam', 'Rotterdam', 'Den Haag', 'Utrecht', 'vier grote steden', 'Amsterdam', 'Den Haag', 'Rotterdam', 'Utrecht')","('veroudering van de bevolking', 'veroudering van de bevolking', 'veroudering', 'veroudering van de bevolking', 'ontgroening', 'vergrijzing', 'ont - groening', 'vergrijzing', 'ontgroening', 'ver - grijzing', 'ontgroening', 'vergrij - zing', 'Vergrijzing', 'dubbele ver - grijzing', 'interne vergrijzing', 'dubbele vergrijzing', 'veroude - 5 ring', 'dubbele vergrijzing', 'veroudering', 'veroudering', 'ontgroe - ning', 'specifieke ouderenvoorzieningen', 'intramurale', 'extramurale voorzieningen', 'Intramurale huisvesting', 'bejaardenoorden', 'verpleeghuizen', 'Woontussenvoorzieningen', 'Gezinsverzorging', 'Wijkverpleging', 'sociaal-culturele ontwikkelingen', 'demo - grafische ontwikkelingen', 'ontwikkelingen in het beleid', 'de ruimtelijke verschillen', 'individualisering', 'woon / verzorgingswensen', 'houding ten aanzien van het huwelijk', 'gebruik van contraceptie', 'beleid , geboorte en migratie', 'het gebruik van specifieke ouderenvoorzieningen', 'migratie', 'houding ten aanzien van huwelijk', 'contraceptie', 'geboorte', 'migratie', 'sterfte', 'geboorte', 'migratie', 'sterfte')",1988_Studulski_Frank_Vergrijzen_in_de_grote_stad.conll,
"('HET GROENE HART VAN BINNEN NAAR BUITEN', 'Stemmer < . . it het 1 groen “ , een onderz . . k naar de visie va ; de . yrootste gemeenten in het middengebied van de Randstad op de ruimtelijke ordening ervan ing .', 'HET GROENE HART VAN BINNEN NAAR BUITEN', ""Stemmen uit het ' groen ' , een onderzoek naar de visie van de grootste gemeenten in het middengebied van de Randstad op de ruimtelijke ordening ervan"", 'HET GROENE HART VAN BINNEN NAAR BUITEN', ""Stemmen uit het ' groen ' , een onderzoek naar de visie van de grootste gemeenten in het middengebied van de Randstad op de ruimtelijke ordening ervan"", 'Het Groene Hart van binnen naar buiten', ""Stemmen uit het ' groen ' , een onderzoek naar de visie van de grootste gemeenten in het middengebied van de Randstad op de ruimtelijke ordening ervan"")","('M van Noordenne', 'M . van Noordenne', 'M . van Noordenne', 'M . van Noordenne')","('november 1989', 'november 1989', '1989')","('Groene Hart', 'Groene Hart', 'Groene Hart', 'Groene Hart', 'Groene Hart', 'Groene Hart', 'Groene Hart', 'het gebied tussen de vier grote steden , Amsterdam , Den Haag , Rotterdam en Utrecht', 'middenge - bied van de Randstad', 'het niet verstedelijkte gebied bij die stad', ""een gebied overeenkomstig het ' Open Middengebied Noord '"", 'Utrechts Weidegebied', 'Noordelijke veenstreek in Zuid-Holland', 'Rijnstreek Zuid-Hol - land', 'Gouda en omstreken', 'Krimpenerwaard', 'Benthuizen', 'Bleiswijk', 'Moerkapelle', 'Nieuwerkerk a / d Ussel', 'Zevenhuizen', 'Vinkeveen', 'Waverveen', 'Usselstein', 'Gouda', 'Alphen a / d Rijn', 'Woerden', 'Waddinxveen', 'Ussel - stein', 'Nieuwerkerk a / d Ussel', 'Bodegraven', 'De Ronde Venen', 'Schoonhoven')","('Groene Hart', 'Groene Hart', 'Groene Hart-studie', 'Groene Hart', 'Groene Hart', 'Groene Hart-beleid', 'Groene Hart-benadering', 'Groene Hart', 'het groene Groene Hart', 'gemeenten met tenminste 10.000 inwoners in de hoofdkem en een woningbouw - , werkgelegenheids - en verzorgingsfunctie die duidelijk boven de gemeentegrens uitstijgt')",1989_Noordenne_van_M_Het_Groene_Hart_van_binnen_en_naar_buiten.conll,"('onder de wethouders ruimtelijke ordening van de grootste gemeenten', 'wethouders ruimtelijke ordening', 'De wethouders', 'een burgemeester', 'zes wethouders ruimtelijke ordening', 'twee hoofden ruimtelijke ordening', 'wethouders ruimtelijke ordening van de meest stedelijke gemeenten')"
"('Do . wne 16 de Julio na het iïAM-RLKF-rtoject .', 'DE ZONE 16 DE JÜLIO NA HET HAM-BIRF-PROJECT', 'De effecten van buurtverbetering in El Alto , Bolivia .')","('PAUL VAN BEUNUM', 'RONALD H.KRANENBURG', 'Paul van Beijnum', 'Ronald H', 'Kranenburg')","('MAART 1993',)","('El Alto , Bolivia .', 'Bolivia', 'La Paz', 'La Paz', 'El Alto', 'Bolivia', 'El Alto', 'El Alto', 'El Alto', 'La Paz', 'El Alto', 'de zone 16 de Julio', 'El Alto', 'zone 16 de Julio', 'zone 16 de Julio', 'zone 16 de Julio', 'longitudinale analyse', 'zone 16 de Julio .', 'zone 16 de Julio')",,1993_Beijnum_van_Paul_De_zone_16_julio_na_het_Ham_Birf_project.conll,
"('WINKELEN OP DE UITHOF !', 'FICTIE OF WERKELIJKHEID ?')","('Eefke Langendonk', 'Eefke Langendonk')","('Juli 1993', 'juli 1993')","('De Uithof', 'Utrecht .', 'Universiteit Utrecht', 'Utrecht', 'Uithof', 'Uithof', 'Uithof', 'Uithof', 'Uithof', 'Uithof', 'Uithof')","('De attractiviteit van de supermarkt',)",1993_Langendonk_Eefke_Winkelen_op_de_Uithof.conll,"('studenten', 'medewerkers', 'medewerkers', 'medewerkers', 'studenten', 'studenten', 'werknemers', 'studenten', 'medewerkers')"
"('BEDRMVENTERRE1NENMARKT EN HERSTRUCTURERING : PRIORITEIT OF LAPMIDDEL ?', 'DE STADSREGIONALE BEDRIJVENTERREINENMARKT EN HERSTRUCTURERING : PRIORITEIT OF LAPMIDDEL ?')","('EMMY HESSELS', 'JEROEN SMIT', 'EMMY HESSELS', 'JEROEN SMIT')","('JUNI 1994', 'JUNI 1994', 'JUNI 1994')","('Stadsregio Eindhoven-Helmond', 'stadsregio Eindhoven-Helmond', 'Veldhoven', 'Eindhoven', 'Eindhoven / Helmond', 'stadsregio Eindhoven-Helmond', 'stadsregio Eindhoven-Helmond', 'Best', 'Geldrop', 'Nuenen', 'Son en Breugel', 'Veldhoven', 'Waalre', 'Aarle-Rixtel', 'Mierlo', 'stadsregio Eindhoven-Helmond', 'Eindhoven', 'Helmond')","('vraag en aanbod met betrekking tot bedrijventerreinen', 'Valkenswaard', 'vraag - en aanbodverhoudingen', 'marktseg - menten van de bedrijventerreinenmarkt', 'vraag naar terreinen', 'marktsegment zich', 'marktsegment', 'kantoren', 'vraag - en aanbodsi - tuatie op de bedrijventerreinen', 'kantorenmarkt', 'inventarisatie van vraag en aanbod', 'terrein Strijp', 'terrein Strijp', 'terrein Strijp')",1994_Hensels_Emmy_De_stadsregionale_bedrijventerreinenmarkt_en_herstructurering.conll,
"('Hongarije : land van de twee snelheden ?', 'De gevolgen van de transitie naar een markteco - nomie op de regionale economische ontwikkeling', 'Hongarije : land van de twee snelheden ?', 'De gevolgen van de transitie naar een markteco - nomie op de regionale economische ontwikkeling', 'Hungary : Country of two velocitics ?', 'The consequences of the transition to a market-economy for the regional economie development')","('Jan Kennis', 'Martin Schluter', 'Jan Kennis', 'Martin Schluter', 'Jan Kennis', 'Martin Schluter', 'Jan Kennis', 'Martin Schluter')","('Juli 1994', 'Juli 1994', 'juli 1994')","('Hungary', 'Hungary', 'Hungary', 'Hungary', 'Hungary', 'Hongarije', 'Hongarije', 'Hongarije', 'Hongarije', 'Hongarije')","('transitie naar een markteconomie', 'transitie naar een markteconomie', 'transitie naar een markteconomie', 'transitie naar een markteconomie', 'transitie naar een markteconomie .')",1994_Kermis_Jan_Hongarije_land_van_twee_snelheden.conll,"('personen waren werkzaam bij JV ’ s , staatsondernemingen , ministeries en onderzoeksinstituten', 'Nemes-Nagy 1993')"
"('Het PPP-project Hof / Krommestraat als voorbeeldfunctie', 'Het PPP-project Hof / Krommestraat als voorbeeldfunctie')","('Martin Slabbèrtje', 'Martin Slabbèrtje')","('1994', '1994')","('het winkel / uitgaansgebied Hof / Krommestraat in Amersfoort', 'Langestraat ten noordoosten van de Joriskerk', 'in het gebied Hof / Krommestraat', 'gebied Hof / Krommestraat')",,1994_Slabbertje_Martin_Het_PPP-project.conll,"('belanghebbenden van het PPP-project Hof / Krommestraat', 'de belanghebbenden van dit PPP-project', 'detaillisten', 'horeca-ondernemers', 'participanten van het PPP-project Hof / Krommestraat', 'externe deskundigen', 'externe deskundigen', 'externe deskundigen')"
"('De Regio Stedendriehoek', 'Regionale ontwikkeling en de betekenis van watersystemen voor de relatie tussen stedelijk en landelijk gebied', 'De Regio Stedendriehoek', 'Regionale ontwikkeling en de betekenis van watersystemen voor de relatie tussen stedelijk en landelijk gebied')","('Ypma', 'Ypma')","('juni 1995',)","('Apeldoorn', 'Deventer', 'Zutphen', 'Regio Stedendriehoek', 'Regio Stedendriehoek', 'Gewest Midden-Ussel ( GMU )', 'Samenwerkingsorgaan Oost-Veluwe ( SOV )', 'Regio Stedendriehoek', 'Overijssel', 'Gelderland', 'Apeldoorn', 'Deventer', 'Zutphen', 'Regio Stedendriehoek')","('regio', 'watersysteem', 'regionale watersystemen', 'ruimtelijke structuren', 'De ruimtelijke structuren', 'ruimtelijke structuur', 'ruimtelijke structuren', 'regio', 'regio', 'regio', 'gebied', 'gebieden', 'systeem', 'regio', 'proces .', 'ruimtelijke structuren', 'grens', 'grens', 'grens')",1995_Ypma_Klaske_W_De_Regio_Stedendriehoek.conll,
"('Angstgevoelens tijdens het uitgaan', 'Angstgevoelens tijdens het uitgaan')","('Frank de Beer',)","('12 november 2007',)","('gemeente Apeldoorn', 'het Caterplein', 'het Caterplein', 'het Caterplein', 'de noordzijde van de Hoofdstraat en het Beekpark', 'een park als een straat met de naam Beekpark', 'in Apeldoorn', 'het Caterplein in Apeldoorn')","('angstgevoelens', 'angst', 'de maatregelen', 'individuele gedragsstrategieën', 'angst', 'Angst', 'angstgevoelens', 'angst', 'angst')",2007_Beer_de_Frank_Angstgevoelens_tijdens_het_uitgaan.conll,"('mannen', 'vrouwen', 'institutionele partijen , zoals de gemeente , horeca en politie', 'de jongeren', 'de institutionele partijen', 'de jongeren', 'de jongeren in de leeftijdscategorie van 18 - 25 jaar', 'jongeren uit de doelgroep', 'de jongeren', 'de jongeren')"
"('E-commerce in de binnenstad Een onderzoek naar e-commerce succes onder winkeliers in de binnenstad', 'E-commerce in de binnenstad Een onderzoek naar e-commerce succes onder winkeliers in de binnenstad')","('Stefan de Jong', 'Stefan de de Jong')","('Augustus 2007', 'Augustus 2007')","('Amersfoort', 'Almere', 'Alkmaar', 'Haarlem', 'Hilversum', 'Purmerend', 'Utrecht', 'Veenendaal', 'Alkmaar', 'Almere', 'Amersfoort', 'Haarlem', 'Hilversum ,', 'Purmerend', 'Utrecht', 'Veenendaal')","('e-commerce strategieën', 'e-commerce strategieën', 'Marktomgeving', 'Kenmerken klanten', 'Kwaliteit van de website', 'E-commerce Strategie', 'Kenmerken onderneming', 'Kenmerken ondernemer', 'Concurrentiepositie', 'Omzet', 'Kosten besparing', 'Kosten stijging', 'Relatie met de klant', 'Kennis over klanten', 'e-commerce strategie', 'kwaliteit van de website', 'kenmerken van de ondernemer', 'kenmerken van de onderneming', 'marktomgeving', 'e-commerce strategie', 'concurrentiepositie', 'omzet', 'kostendaling', 'kostenstijging', 'kennis over klanten', 'Kwaliteit van de website', 'kenmerken van de ondernemer', 'kenmerken van de onderneming', 'e-commerce strategie')",2007_Jong_de_Stefan_Een_onderzoek_naar_e-commerce_succes_in_de_binnenstad.conll,"('winkelbedrijven met een website welke een vestiging hebben in de Nederlandse binnenstad', 'winkelbedrijven met een vestiging in een Nederlandse binnenstad .', 'winkeliers , met één of meer vestigingen in bovengenoemde binnensteden')"
