
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Do not extract anything that is not in the text.

        Examples:

        Example 1 
bedanken O
voor O
hun O
inbreng O
. O

Verder O
gaat O
mijn O
dank O
uit O
naar O
de O
afdelingen O
Salarisadministratie O
en O
Studentenadministratie O
van O
de O
Universiteit O
Utrecht O
en O
de O
Salarisadministratie O
van O
het O
AZU O
voor O
het O
beschikbaar O
stellen O
van O
hun O
adresbestanden O
, O
en O
naar O
de O
geënquêteerde O
studenten O
en O
medewerkers O
van O
de O
Universiteit-en O
AZU O
die O
aan O
dit O
onderzoek O
hebben O
meegewerkt O
. O

Als O
laatste O
wil O
ik O
iedereen O
bedanken O
die O
mij O
geholpen O
heeft O
met O
de O
verwerking O
van O
de O
enquête O
. O

Eefke B-author
Langendonk I-author
Utrecht B-spatial
, O
juli B-issued
1993 I-issued
Universiteit O
Utrecht O
BIBLIOTHEEK O
CENTRUM O
UITHOF O
3 O
RIJKSUNIVERSITEIT O
TE O
UTRECHT O
2566 O
7167 O
INHOUDSOPGAVE O
1 O
INLEIDING O
p O
. O
7 O
1.1 O
Aanleiding O
tot O
het O
onderzoek O
p O
. O
7 O
1.2 O
Doel O
- O
en O
probleemstelling O
p O
. O
7 O
1.3 O
Conceptueel O
model O
p O
. O
8 O
1.4 O
Methode O
van O
onderzoek O
p O
. O
9 O
1.5 O
Opbouw O
van O
het O
rapport O
p O
. O
10 O
2 O
WINKELBESTEDINGEN O
DOOR O
WERKCONSUMENTEN O
; O
EEN O
OVERZICHT O
VAN O
RECENT O
VERSCHENEN O
ONDERZOEKSRESULTATEN O
p O
. O
12 O
2.1 O
Inleiding O
p O
. O
12 O
2.2 O
Woonconsumenten O
, O
Woon-werkconsumenten O
en O
Werkconsumenten O
; O
begripsbepaling O
p O
. O
12 O
2.3 O
Gedrag O
van O
de O
kantoorbevolking O
in O
de O
lunchpauze O
en O
na O
het O
werk O
p O
. O
13 O
2.4 O
Bestedingseffecten O
van O
werkconsumenten O
voor O
dagelijkse O
goederen O
p O
. O
14 O
2.5 O
Conclusie O
p O
. O
16 O
3 O
HET O
ONDERZOEKSGEBIED O
p O
. O
18 O
3.1 O
De O
functie O
van O
het O
gebied O
p O
. O
18 O
3.2 O
De O
’ O
bewonersgroepen O
’ O
p O
. O
19 O
3.3 O
Aanwezige O
voorzieningen O
p O
. O
21 O
4 O
RESPONSANALYSE O
p O
. O
22 O
4.1 O
Respons O
op O
de O
enquête O
p O
. O
22 O
4.2 O
Representativiteit O
van O
de O
resultaten O
p O
. O
22 O
4.3 O
Conclusie O
p O
. O
25 O
5 O
RESULTATEN O
VAN O
HET O
ONDERZOEK O
; O
DE O
STUDENTENPOPULATIE O
p O
. O
26 O
5.1 O
Inleiding O
p O
. O
26 O
5.2 O
Uithof O
bezoek O
p O
. O
26 O
5.3 O
’ O
Woon O
- O
studie O
’ O
situatie O
p O
. O
29 O
5.4 O
Inkomsten O
en O
bestedingen O
p O
. O
31 O
5.5 O
Het O
boodschappen O
doen O
p O
. O
33 O
5.6 O
Verwachtte O
bestedingen O
in O
de O
Uithof-supermarkt O
p O
. O
35 O
5.7 O
De O
potentiële O
gebruiker O
p O
. O
36 O
5.8 O
Conclusie O
P O
- O
42 O
6 O
RESULTATEN O
VAN O
HET O
ONDERZOEK O
; O
DE O
MEDEWERKERSPOPULATIE O
p O
. O
43 O
6.1 O
Inleiding O
P O
- O
43 O
6.2 O
Uithof O
bezoek O
P O
- O
43 O
6.3 O
Woon O
- O
werk O
situatie O
P O
- O
44 O
6.4 O
Inkomsten O
en O
bestedingen O
P O
- O
46 O
6.5 O
Het O
boodschappen O
doen O
P O
- O
47 O
6.6 O
Verwachtte O
bestedingen O
in O
de O
Uithof-supermarkt O
p O
. O
49 O
6.7 O
De O
potentiële O
gebruiker O
P O
- O
50 O
6.8 O
Conclusie O
P O
- O
^ O
6 O
5 O
7 O
CONCLUSIE O
p O
. O
57 O
7.1 O
Omzetberekening O
. O
p O
. O
57 O
7.2 O
Conclusie O
p O
. O
59 O
GERAADPLEEGDE O
LITERATUUR O
p O
. O
61 O
BIJLAGEN O
1 O
Enquêtelijsten O
2 O
Gewenst O
assortiment O
3 O
Gewenste O
openingstijden O
4 O
Overzichtskaartje O
’ O
De O
Uithof O
6 O
1 O
INLEIDING O
1.1 O
Aanleiding O
tot O
het O
onderzoek O
Al O
jarenlang O
gaan O
er O
vanuit O
de O
’ O
Uithof-bevolking O
’ O
stemmen O
op O
voor O
de O
vestiging O
van O
een O
( O
kleine O
) O
supermarkt O
op O
het O
universiteits-complex O
De O
Uithof O
. O

Winkelvoorzieningen O
zijn O
niet O
binnen O
bereik O
en O
vooral O
de O
medewerkers O
ervaren O
dit O
als O
een O
probleem O
. O

De O
Universiteit O
Utrecht O
heeft O
naar O
aanleiding O
van O
de O
verscheidene O
in O
het O
Universiteitsblad O
verschenen O
opmerkingen O
omtrent O
dit O
onderwerp O
, O
getracht O
hier O
een O
oplossing O
voor O
te O
zoeken O
. O

Vooral O
na O
de O
komst O
van O
het O
Academisch O
Ziekenhuis O
Utrecht O
in O
de O
Uithof O
en O
de O
toekomstplannen O
voor O
het O
gebied O
is O
de O
potentiële O
gebruikersgroep O
zodanig O
toegenomen O
dat O
de O
vestiging O
van O
een O
supermarkt O
haalbaar O
lijkt O
De O
Vendex O
Food O
Groep O
bleek O
geïnteresseerd O
te O
zijn O
in O
de O
Uithof-lokatie O
. O

Een O
supermarkt O
van O
het O
type O
’ O
Dagmarkt O
’ O
leek O
hen O
voor O
de O
Uithof O
uitstekend O
geschikt O
. O

Het O
ontbreken O
van O
woningen O
, O
en O
daarmee O
een O
zekere O
gebruikersgroep O
, O
maakte O
een O
onderzoek O
naar O
de O
te O
verwachten O
omzet O
echter O
noodzakelijk O
, O
alvorens O
forse O
investeringen O
te O
doen O
. O

De O
universiteit O
heeft O
, O
na O
de O
door O
de O
Vendex O
Food O
Groep O
getoonde O
interesse O
, O
dan O
ook O
de O
opdracht O
gegeven O
een O
onderzoek O
te O
verrichten O
naar O
de O
haalbaarheid O
van O
deze O
supermarkt O
in O
de O
Uithof B-spatial
. O

Indien O
de O
supermarkt O
rendabel O
blijkt O
te O
zijn O
, O
zal O
hij O
gevestigd O
worden O
in O
de O
huidige O
fietsenstalling O
onder O
het O
Centrumgebouw O
Zuid O
met O
een O
maximale O
vloeroppervlakte O
van O
600 O
m2 O
. O

De O
’ O
Dagmarkt O
’ O
zal O
beheerd O
worden O
door O
een O
zelfstandige O
ondernemer O
die O
op O
franchisebasis O
werkt O
. O

Op O
last O
van O
het O
universiteitsbestuur O
wordt O
er O
bij O
de O
supermarkt O
geen O
ruimte O
gereserveerd O
voor O
parkeerplaatsen O
en O
zal O
deze O
op O
zaterdag O
niet O
geopend O
zijn O
. O

De O
achterliggende O
gedachte O
hierbij O
is O
dat O
men O
geen O
bezoekers O
van O
buiten O
de O
Uithof B-spatial
wil O
aantrekken O
. O

De O
supermarkt O
zal O
daarom O
slechts O
gebruikt O
worden O
door O
de O
gebruikers O
van O
de O
op O
de O
Uithof B-spatial
gevestigde O
instellingen O
. O

De O
gebruikers O
van O
die O
instellingen O
zijn O
de O
studenten B-inGroup
en O
medewerkers B-inGroup
van O
de O
op O
de O
Uithof B-spatial
gevestigde O
faculteiten O
van O
de O
Universiteit O
Utrecht O
, O
het O
bestuursgebouw O
van O
de O
Universiteit O
en O
daarnaast O
de O
medewerkers B-inGroup
en O
bezoekers O
van O
het O
AZU O
. O
1.2 O
Doel O
- O
en O
probleemstelling O
In O
de O
vorige O
paragraaf O
is O
de O
aanleiding O
voor O
dit O
onderzoek O
uiteengezet O
. O

Door O
het O
ontbreken O
van O
woningen O
in O
de O
Uithof B-spatial
is O
een O
eenvoudige O
berekening O
van O
de O
te O
verwachten O
omzet O
niet O
mogelijk O
. O

Naast O
het O
ontbreken O
van O
woningen O
zijn O
er O
nog O
andere O
problemen O
die O
een O
uitgebreid O
onderzoek O
vereisen O
, O
alvorens O
te O
kunnen O
zeggen O
of O
een O
supermarkt O
in O
de O
Uithof O
al O
dan O
niet O
rendabel O
zal O
zijn O
. O

Er O
zijn O
vier O
specifieke O
problemen O
: O
1 O
. O

De O
gebruikersgroepen O
die O
in O
voorgaande O
paragraaf O
benoemd O
zijn O
, O
brengen O
met O
zich O
mee O
dat O
er O
rekening O
gehouden O
moet O
worden O
met O
seizoensinvloeden O
op O
de O
afzet O
. O

In O
de O
zomermaanden O
juli O
en O
augustus O
is O
’ O
De O
Uithof B-spatial
’ O
bijna O
' O
uitgestorven O
’ O
en O
is O
de O
klandizie O
van O
een O
supermarkt O
naar O
verwachting O
niet O
groot O
. O

Tevens O
moet O
rekening O
gehouden O
worden O
met O
de O
koopkracht O
van O
de O
ver O
- O
schillende O
groepen O
. O
2 O
. O

Het O
feit O
dat O
er O
geen O
extra O
parkeermogelijkheid O
in O
de O
nabijheid O
van O
de O
supermarkt O
komt O
, O
betekent O
dat O
de O
bestedingen O
in O
deze O
supermarkt O
veelal O
klein O
zullen O
zijn O
. O

De O
afstand O
tot O
de O
dicht O
- O
stbijzijnde O
parkeerplaats O
is O
niet O
groot O
, O
maar O
kan O
wel O
een O
psychologische O
barrière O
vormen O
. O

Daarbij O
komt O
dat O
deze O
parkeerplaats O
overdag O
meestal O
vol O
is O
. O

Dit O
betekent O
dat O
de O
bezoekers O
van O
de O
supermarkt O
die O
hun O
auto O
’ O
s O
op O
een O
verder O
af O
gelegen O
parkeerplaats O
hebben O
staan O
, O
een O
behoorlijke O
afstand O
moeten O
afleggen O
. O

Veel O
medewerkers B-inGroup
en O
studenten B-inGroup
komen O
op O
de O
fiets O
naar O
de O
Uithof O
. O

De O
bestedingen O
zullen O
hierdoor O
hoogst O
waarschijnlijk O
klein O
zijn O
. O

Daarentegen O
moet O
er O
ook O
rekening O
worden O
gehouden O
7 O
met O
het O
feit O
dat O
veel O
studenten B-inGroup
iedere O
dag O
een O
kleine O
hoeveelheid O
boodschappen O
doen O
. O

Dit O
betekent O
dat O
de O
bestedingen O
per O
bezoek O
wellicht O
gering O
zijn O
, O
maar O
dat O
door O
een O
hoge O
bezoek O
- O
frequentie O
de O
weekbestedirigen O
toch O
hoog O
kunnen O
liggen O
. O

De O
afstand O
wonen O
- O
’ O
werken O
’ O
zal O
hierbij O
waarschijnlijk O
wel O
een O
rol O
van O
betekenis O
spelen O
. O
3 O
. O

Ook O
zal O
bekeken O
moeten O
worden O
of O
er O
behoefte O
is O
aan O
andere O
openingstijden O
dan O
de O
normale O
van O
9.00 O
tot O
18.30 O
uur O
. O
’ O
s O
Ochtends O
om O
9.00 O
zal O
waarschijnlijk O
slechts O
een O
enkeling O
gebruik O
maken O
van O
de O
supermarkt O
. O

Daarentegen O
zou O
openstelling O
van O
de O
supermarkt O
na O
18.30 O
aantrek O
- O
kelijk O
kunnen O
zijn O
. O
4 O
. O

De O
toekomstige O
bouw O
- O
en O
bestemmingsplannen O
ten O
aanzien O
van O
' O
De O
UithoF O
kunnen O
in O
dit O
onderzoek O
ook O
niet O
buiten O
beschouwing O
worden O
gelaten O
. O

Het O
is O
de O
bedoeling O
dat O
in O
de O
toekomst O
de O
Hogeschool O
Midden O
Nederland O
zich O
zal O
gaan O
vestigen O
op O
het O
universiteitsterrein O
. O

Het O
gaat O
hierbij O
in O
eerste O
instantie O
om O
een O
uitbreiding O
van O
de O
afdeling O
gezondheidszorg O
. O

Tevens O
is O
het O
de O
bedoeling O
dat O
in O
1994 O
de O
afdeling O
Economie O
en O
Management O
van O
de O
Hogeschool O
Utrecht O
zich O
op O
het O
Uithof-terrein O
zal O
gaan O
vestigen O
( O
tegenover O
Centrumgebouw O
Noord O
) O
. O

Dit O
brengt O
met O
zich O
mee O
dat O
het O
aantal O
potentiële O
bezoekers O
van O
een O
supermarkt O
met O
circa O
4.500 O
personen O
zal O
toenemen O
. O

Tevens O
zijn O
er O
plannen O
om O
de O
Uithof B-spatial
te O
voorzien O
van O
een O
Educatorium O
. O

Het O
Educatorium O
moet O
1996 O
klaar O
zijn O
. O

In O
dit O
gebouw O
zullen O
grote O
college O
- O
en O
congreszalen O
komen O
. O

Ook O
wordt O
er O
aan O
gedacht O
om O
hierin O
enkele O
basis-voorzieningen O
een O
plaats O
te O
bieden O
. O

Andere O
toekomstplannen O
ten O
aanzien O
van O
de O
Uithof O
zijn O
ondermeer O
de O
bouw O
van O
studentenwo O
- O
ningen O
op O
het O
terrein O
en O
de O
verplaatsing O
van O
alle O
afzonderlijke O
universitaire O
bibliotheken O
naar O
één O
centrale O
bibliotheek O
in O
de O
Uithof O
. O

Deze O
plannen O
zijn O
echter O
nog O
niet O
definitief O
. O

Het O
doel O
van O
dit O
onderzoek O
is O
een O
beeld O
te O
krijgen O
van O
de O
potentiële O
Uithof-supermarkt O
gebruiker O
. O

Wie O
zal O
er O
gebruik O
gaan O
maken O
van O
de O
supermarkt O
, O
hoevaak O
zal O
hij O
of O
zij O
er O
komen O
, O
hoeveel O
en O
wat O
zal O
er O
door O
hem O
of O
haar O
gekocht O
gaan O
worden O
? O

De O
centrale O
probleemstelling O
in O
dit O
onderzoek O
is O
dan O
ook O
als O
volgt O
geformuleerd O
: O
Hoe O
hoog O
is O
de O
te O
verwachten O
weekomzet O
van O
een O
supermarkt O
van O
het O
type O
’ O
Dagmarkt O
’ O
in O
De O
Uithof O
. O

Deze O
centrale O
probleemstelling O
kan O
opgesplitst O
worden O
in O
de O
volgende O
onderzoeksvragen O

. O

♦ O
Wat O
is O
de O
omvang O
van O
de O
verschillende O
doelgroepen O
? O

♦ O
Wat O
besteden O
de O
doelgroepen O
normaal O
gesproken O
aan O
dagelijks O
benodigde O
produkten O
? O

♦ O
Hoeveel O
tijd O
brengt O
men O
doorgaans O
per O
week O
in O
de O
Uithof O
door O
? O

♦ O
Wat O
is O
de O
afstand O
wonen O
- O
werken O
/ O
studeren O
en O
welk O
vervoermiddel O
wordt O
hiervoor O
gebruikt O
? O

* O
Hoe O
groot O
is O
de O
behoefte O
aan O
een O
supermarkt O
? O

♦ O
Wat O
zal O
men O
in O
de O
supermarkt O
gaan O
besteden O
? O

13 O
Conceptueel O
model O
In O
het O
conceptueel O
model O
zijn O
alle O
onderdelen O
van O
de O
probleemstelling O
en O
deelvragen O
geschematiseerd O
bijeengebracht O
. O

Alle O
mogelijke O
invloeden O
en O
interacties O
tussen O
de O
afzonderlijke O
kenmerken O
zijn O
in O
dit O
model O
weergegeven O
. O

Het O
conceptueel O
model O
van O
de O
bestedingen O
door O
de O
zogenaamde O
werkconsumenten O
in O
de O
Uithof O
- O
supermarkt O
is O
als O
volgt O
: O
8 O
Factoren O
van O
de O
supermarkt O
Persoonlijke O
factoren O
van O
de O
consument O
Constraints O
Koopgedrag O
t.a.v O
. O
uithof O
supermarkt O
Omzet O
van O
de O
supermarkt O
Het O
model O
kan O
als O
volgt O
worden O
toegelicht O
: O
De O
attractiviteit O
van O
de O
supermarkt O
wordt O
bepaald O
door O
verschillende O
factoren O
. O

Dit O
zijn O
het O
type O
supermarkt O
, O
het O
prijsniveau O
, O
de O
aanwezigheid O
van O
parkeerruimte O
en O
de O
openingstijden O
. O

De O
persoonlijke O
factoren O
van O
de O
consument O
bestaan O
uit O
de O
koopkracht O
, O
het O
aantal O
uren O
dat O
men O
in O
de O
Uithof O
verblijft O
, O
het O
vervoermiddel O
, O
de O
huishoudenssituatie O
en O
of O
men O
medewerker O
dan O
wel O
student O
is O
. O

De B-subject
attractiviteit I-subject
van I-subject
de I-subject
supermarkt I-subject
en O
de O
persoonlijke O
factoren O
van O
de O
consument O
zijn O
samen O
bepalend O
voor O
de O
constraints O
die O
men O
kan O
ondervinden O
bij O
het O
doen O
van O
de O
dagelijkse O
bood O
- O
schappen O
. O

Deze O
constraints O
zijn O
de O
tijd-ruimte O
mogelijkheden O
en O
beperkingen O
. O

Dat O
wil O
zeggen O
de O
afstand O
wonen-werken-supennarkt O
in O
combinatie O
met O
het O
vervoermiddel O
, O
waarbij O
ook O
het O
aantal O
contacturen O
in O
de O
Uithof O
in O
samenhang O
met O
de O
openingstijden O
en O
de O
mogelijkheid O
om O
elders O
, O
’ O
op O
tijd O
’ O
boodschappen O
te O
kunnen O
doen O
meespeelt O
Uit O
deze O
constraints O
volgt O
het O
koopgedrag O
van O
de O
consument O
ten O
aanzien O
van O
de O
Uithof-supermarkt O
Dit O
koopgedrag O
uit O
zich O
in O
de O
gebruiksfrequentie O
enerzijds O
en O
de O
aankoophoeveelheid O
anderzijds O
. O

Het O
koopgedrag O
van O
de O
consument O
is O
vervolgens O
weer O
bepalend O
voor O
de O
te O
verwachten O
omzet O
van O
de O
Uithof-supermarkt O
. O
1.4 O
Methode O
van O
onderzoek O
Voor O
de O
operationalisatie O
van O
de O
onderzoeksvragen O
is O
gebruik O
gemaakt O
van O
enerzijds O
een O
literatuur O
- O
studie O
en O
anderzijds O
een O
schriftelijke O
enquête O
. O

De O
literatuurstudie O
was O
gericht O
op O
het O
belang O
van O
werkconsumenten O
voor O
de O
omzet O
van O
de O
detailhandel O
nabij O
kantoorlokaties O
. O

De O
gebruikte O
literatuur O
besloeg O
voornamelijk O
onderzoeken O
die O
gedaan O
zijn O
onder O
kantoorpersoneel O
. O

Om O
een O
goed O
beeld O
te O
verkrijgen O
van O
de O
Uithof-bevolking O
en O
hun O
winkelgedrag O
ten O
aanzien O
van O
dagelijkse O
produkten O
, O
is O
gebruik O
gemaakt O
van O
een O
enquête-onderzoek O
. O

Er O
is O
gekozen O
voor O
een O
schriftelijke-postenquête O
. O

Deze O
methode O
heeft O
als O
nadeel O
dat O
de O
respons O
aanzienlijk O
lager O
ligt O
dan O
bij O
andere O
methoden O
, O
zoals O
passanten O
- O
en O
telefonische-enquêtes O
. O

Het O
voordeel O
van O
een O
hogere O
respons O
weegt O
echter O
niet O
op O
tegen O
de O
nadelen O
van O
deze O
twee O
methoden O
. O

Een O
telefonische O
enquête O
heeft O
als O
groot O
nadeel O
dat O
vooral O
de O
studentenpopulatie O
op O
deze O
manier O
moeilijk O
te O
bereiken O
is O
. O

Een O
passantenenquête O
heeft O
als O
groot O
nadeel O
dat O
op O
deze O
manier O
geen O
goede O
afspiegeling O
van O
met O
name O
de O
studentenpopulatie O
te O
krijgen O
is O
. O

De O
studenten O
die O
zelden O
of O
nooit O
in O
de O
Uithof O
aanwezig O
zijn O
9 O
zullen O
bij O
gebruik O
van O
deze O
methode O
niet O
in O
de O
steekproef O
vallen O
. O

Dit O
brengt O
het O
risico O
met O
zich O
mee O
dat O
ten O
onrechte O
aangenomen O
wordt O
dat O
alle O
studenten O
regelmatig O
de O
Uithof O
bezoeken O
. O

Hierdoor O
zou O
bij O
de O
vertaling O
van O
de O
enquête O
resultaten O
naar O
de O
totale O
Uithof-populatie O
, O
grote O
vertekening O
optreden O
. O

Het O
probleem O
van O
de O
lage O
respons O
bij O
een O
schriftelijke O
enquête O
is O
getracht O
te O
ondervangen O
door O
onder O
de O
inzenders O
van O
de O
vragenlijst O
vier O
keer O
over O
ƒ O
100 O
, O
- O
te O
verloten O
. O

Vooraf O
werd O
uitgegaan O
van O
een O
respons O
van O
40% O
a O
50% O
. O

De O
Uithofpopulatie O
bestaat O
, O
zoals O
uit O
§ O
1.1 O
is O
gebleken O
, O
uit O
de O
gebruikers O
en O
werknemers B-inGroup
van O
de O
in O
de O
Uithof O
gevestigde O
instellingen O
. O

Dit O
zijn O
de O
Universiteit O
Utrecht O
, O
het O
Academisch O
Ziekenhuis O
Utrecht O
en O
de O
Hogeschool O
Midden O
Nederland O
afdeling O
gezondheidszorg O
. O

De O
gebruikers O
kunnen O
dus O
grofweg O
onderverdeeld O
worden O
in O
: O
studenten B-inGroup
van O
de O
Universiteit O
en O
de O
HMN O
, O
de O
medewerkers B-inGroup
van O
de O
Universiteit O
en O
de O
HMN O
, O
de O
medewerkers O
van O
het O
AZU O
en O
de O
patiënten O
/ O
bezoekers O
van O
het O
AZU O
. O

Van O
deze O
gebruikersgroepen O
is O
er O
, O
voor O
het O
onderzoek O
, O
één O
buiten O
beschouwing O
gelaten O
, O
namelijk O
de O
patiënten O
/ O
bezoekers O
van O
het O
AZU O
. O

Het O
aandeel O
dat O
deze O
groep O
zal O
hebben O
in O
de O
uiteindelijke O
omzet O
van O
de O
supermarkt O
zal O
, O
zoals O
blijkt O
uit O
het O
onderzoek O
van O
Jannette O
Walen O
( O
1990 O
) O
, O
zeer O
gering O
zijn O
. O

Deze O
groep O
komt O
alleen O
voor O
een O
kort O
bezoek O
in O
de O
Uithof O
, O
zal O
veelal O
niet O
weten O
dat O
er O
een O
supermarkt O
in O
de O
buurt O
is O
en O
de O
afstand O
AZU-supermarkt O
is O
te O
groot O
. O

Daarbij O
komt O
dat O
deze O
groep O
met O
een O
enquête O
erg O
moeilijk O
te O
bereiken O
is O
. O

De O
resterende O
Uithof-gebruikers O
zijn O
voor O
het O
onderzoek O
verdeeld O
over O
twee O
groepen O
, O
die O
ieder O
een O
aparte O
vragenlijst O
hebben O
gekregen O
. O

De O
eerste O
groep O
bestond O
uit O
de O
studenten O
van O
de O
Universiteit O
en O
de O
HMN O
afdeling O
gezondheidszorg O
, O
de O
tweede O
groep O
uit O
de O
medewerkers O
van O
de O
Universiteit O
, O
HMN O
en O
het O
AZU O
. O

De O
enquêtes O
zijn O
steekproefsgewijs O
uitgezet O
In O
eerste O
instantie O
werd O
uitgegaan O
van O
een O
steekproef O
- O
omvang O
van O
6.600 O
om O
, O
rekening O
houdende O
met O
een O
bruikbare O
respons O
van O
± O
40% O
tot O
50% O
, O
voldoende O
veilige O
uitspraken O
te O
kunnen O
doen O
over O
de O
gehele O
populatie O
. O

Op O
basis O
van O
overleg O
met O
de O
afdeling O
Huisvesting O
van O
de O
Universiteit O
Utrecht O
en O
de O
Vendex O
Food O
Groep O
is O
de O
steekproefomvang O
met O
1 O
/ O
3 O
