
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Only extract entities that are in the text. Follow the annotation rules.
        
        Annotation rules:
Noordenne I-author
Rijksuniversiteit O
Utrecht O
Faculteit O
der O
Ruimtelijke O
Wetenschapppen O
Vakgroep O
G O
& O
P O
Intergemeentelijk O
Samenwerkingsorgaan O
Midden-Holland O
Gouda O
Utrecht O
/ O
Gouda O
, O
november B-issued
1989 I-issued
RIJKSUNIVERSITEIT O
UTRECHT O
iiuaiiiiii O
1737 O
3345 O
HET B-title
GROENE I-title
HART I-title
VAN I-title
BINNEN I-title
NAAR I-title
BUITEN I-title
Stemmen B-title
uit I-title
het I-title
' I-title
groen I-title
' I-title
, I-title
een I-title
onderzoek I-title
naar I-title
de I-title
visie I-title
van I-title
de I-title
grootste I-title
gemeenten I-title
in I-title
het I-title
middengebied I-title
van I-title
de I-title
Randstad I-title
op I-title
de I-title
ruimtelijke I-title
ordening I-title
ervan I-title
Verslag O
van O
Leeronderzoek O
van O
ing O
. O

M B-author
. I-author
van I-author
Noordenne I-author
I O
Rijksuniversiteit O
Utrecht O
Faculteit O
der O
Ruimtelijke O
Wetenschapppen O
Vakgroep O
G O
& O
P O
Midden-Holland O
Gouda O
Utrecht O
/ O
Gouda O
, O
november B-issued
1989 I-issued
RIJKSUNIVERSITEIT O
UTRECHT O
1737 O
3345 O
■ O
PGAVE O
PAG O
• O
^ O
ieiding O
ËQPFESTUK O
1 O
: O
PRQRT.FF74O4SCHRIJVING O
EN O
VERANTWOORDING O
1 O
• O
1 O
: O
Probleemomschrijving O
1.2 O
: O
Verantwoording O
3 O
5 O
5 O
8 O
hoofdstuk O
2 O
: O
het O
groene O
hart O
in O
het O
nationale O
ruimtelijk O
betetd O
io O
2.1 O
: O
Inleiding O
10 O
2.2 O
: O
( O
zie O
bijlage O
1 O
) O
2.3 O
: O
( O
zie O
bijlage O
1 O
) O
2.4 O
: O
( O
zie O
bijlage O
1 O
) O
HOOFDSTUK O
3 O
: O
HET O
ONDERZOEK O
: O
DE O
VISIE O
VAN O
GEN O
iiaai O
TTEN O
3.1 O
: O
Het O
conceptuele O
kader O
3.2 O
: O
Inleiding O
3.3 O
: O
Enquête-resultaten O
( O
thema's O
1 O
t O
/ O
m O
5 O
) O
3.3.1 O
: O
Thema O
1 O
: O
Rijks O
- O
en O
provinciaal O
beleid O
vroeger O
en O
nu O
3.3.2 O
: O
Thema O
2 O
: O
Stedelijke O
ontwikkelingen O
3.3.3 O
: O
Thema O
3 O
: O
Groene O
Hart-aspecten O
3.3.4 O
: O
Thema O
4 O
: O
Bestuurlijke O
organisatie O
3.3.5 O
: O
Thema O
5 O
: O
Groene O
functies O
11 O
11 O
11 O
12 O
12 O
13 O
13 O
16 O
16 O
3.4 O
: O
Enquête-resultaten O
in O
het O
licht O
van O
vier O
toekomst O
- O
16 O
scenario's O
( O
van O
de O
stichting O
NNAO O
) O
( O
thema's O
2 O
t O
/ O
m O
5 O
) O
3.4.1 O
: O
Inleiding O
16 O
3.4.2 O
: O
Enquête-scores O
naar O
thema O
18 O
3.4.3 O
: O
Enquête-scores O
naar O
schaalniveau O
19 O
3.4.4 O
: O
Enquête-scores O
naar O
gemeente O
20 O
3.4.5 O
: O
Enquête-scores O
naar O
gemeentecategorieën O
21 O
3.4.6 O
: O
Confrontatie O
22 O
3.5 O
: O
Toekomstverkenning O
door O
de O
gemeenten O
( O
thema O
6 O
) O
22 O
HOOFDSTUK O
4 O
: O
ANTWOORD O
OP O
DE O
PROBIFEMSTEIJ.TNG O
25 O
4.1 O
: O
De O
gemeenschappelijkheden O
25 O
4.2 O
: O
De O
discrepanties O
met O
het O
rijksbeleid O
28 O
4.2.1 O
: O
Inleiding O
28 O
4.2.2 O
: O
Discrepanties O
vanuit O
de O
integrale O
enquête-resultaten O
28 O
4.2.3 O
: O
Discrepanties O
vanuit O
de O
toekomstvisies O
van O
de O
gemeenten O
29 O
4.2.4 O
: O
Discrepanties O
vanuit O
de O
gemeenschappelijkheden O
30 O
HOOFDSTUK O
5 O
: O
CONCLUSIES O
EN O
AANBEVELINGEN O
31 O
5.1 O
: O
Gemeenschappelijkheden O
en O
discrepanties O
31 O
5.2 O
: O
De O
gezamenlijke O
toekomst O
33 O
5.3 O
: O
Aanbevelingen O
: O
een O
aangepaste O
benadering O
35 O
5.3.1 O
: O
Consequenties O
voor O
de O
planvorming O
: O
de O
Randstad-structuurschets O
38 O
SAMENVATTING O
LITERATUURLIJST O
BIJLAGEN O
Bijlage O
1 O
: O
nota O
Over O
de O
ruimtelijke O
ordening O
( O
deel O
d O
, O
1988 O
) O
2 O
4 O
- O
S O
60 O
stand O
van O
zakeii O
( O
zie O
verde O
? O

^ O
^ O
1 O
^ O
vier O
ruimtelijke O
ontwerpen O
( O
NNAO O
) O
« O
e O
historische O
analyse O
( O
H2 O
) O
in O
het O
scriptie-verslag O
) O
39 O
43 O
44 O
45 O
47 O
Bijlage O
2 O
: O
De O
vragenlijsten O
48 O
INLEIDING O
De O
Vierde O
nota O
Op O
17 O
maart O
1988 O
verscheen O
het O
beleidsvoornemen O
van O
de O
regering O
van O
de O
Vierde O
nota O
over O
de O
ruimtelijke O
ordening O
( O
deel O
a O
) O
. O

Deze O
nota O
gaat O
in O
op O
de O
gewenste O
ruimtelijke O
inrichting O
van O
Nederland O
in O
de O
periode O
tot O
het O
jaar O
2015 O
. O

Na O
het O
voeren O
van O
overleg O
, O
verlenen O
van O
inspraak O
en O
inwinnen O
van O
advies O
verscheen O
op O
17 O
december O
1988 O
de O
op O
een O
aantal O
punten O
bij O
gestelde O
regeringsbeslissing O
( O
deel O
d O
) O
. O

Medio O
mei O
1989 O
zou O
de O
Kamer-behandeling O
hebben O
plaatsgevonden O
, O
ware O
het O
niet O
, O
dat O
de O
regering O
het O
twee O
weken O
voordien O
voor O
gezien O
hield O
. O

De O
definitieve O
tekst O
( O
deel O
e O
) O
zal O
naar O
verwach O
- O
ting O
op O
zijn O
vroegst O
in O
1990 O
beschikbaar O
kernen O
. O

De O
aard O
van O
de O
Vierde O
nota O
is O
te O
kenschetsen O
als O
selectief O
, O
wervend O
, O
markt O
- O
gericht O
. O

Zonder O
het O
nationale O
karakter O
van O
de O
Vierde O
nota O
geweld O
aan O
te O
doen O
, O
kan O
gezegd O
worden O
, O
dat O
de O
Randstad O
de O
spil O
is O
waar O
het O
in O
de O
nota O
om O
draait O
. O

Maar O
liefst O
circa O
zeventig O
beleidsuitspraken O
hebben O
betrekking O
op O
de O
Randstad O
( O
Miltenburg O
, O
1989 O
) O
. O

De O
Randstad O
is O
te O
scheiden O
in O
de O
stedelijke O
Randstad O
, O
zijnde O
de O
ring O
van O
middelgrote O
en O
grote O
stadsgewesten O
, O
en O
het O
Groene B-spatial
Hart I-spatial
( O
Het O
begrip O
stedelij O
- O
ke O
Randstad O
is O
weliswaar O
een O
pleonasme O
, O
wanneer O
echter O
onder O
de O
Randstad O
, O
zoals O
ook O
in O
deze O
studie O
het O
geval O
is O
, O
zowel O
de O
stadsgewesten O
als O
het O
open O
middengebied O
( O
het O
Groene B-spatial
Hart I-spatial
) O
verstaan O
wordt O
, O
is O
het O
nuttig O
dit O
onderscheid O
te O
maken O
. O
) O

De O
meeste O
en O
meest O
dynamische O
ontwikkelingen O
in O
de O
( O
nabije O
) O
toe O
- O
komst O
zullen O
in O
de O
visie O
van O
de O
nota O
( O
moeten O
) O
plaatsvinden O
in O
de O
stedelijke O
Randstad O
. O

Daar O
gaat O
dit O
onderzoek O
verder O
niet O
op O
in O
. O

Uit O
de O
Vierde O
nota O
komt O
naar O
voren O
, O
dat O
ook O
het O
Groene B-spatial
Hart I-spatial
versterkt O
moet O
worden O
. O

Dat O
wil O
zeggen O
, O
de O
' O
groene O
' O
en O
' O
blauwe O
' O
kwaliteiten O
ervan O
, O
die O
mede O
( O
indirect O
of O
direct O
) O
ten O
dienste O
staan O
van O
de O
stedelijke O
Randstad O
. O

De O
wijze O
waarop O
dit O
concreet O
moet O
gebeuren O
volgt O
niet O
uit O
de O
nota O
. O

Wel O
wordt O
in O
de O
pkb O
van O
de O
regeringsbeslissing O
( O
deel O
d O
) O
, O
onder O
het O
zogenaamde O
ruimtelijk O
ontwikkelingsperspectief O
voor O
de O
Randstad O
aangekondigd O
, O
dat O
het O
rijk O
samen O
met O
de O
drie O
Randstadprovincies O
een O
nadere O
uitwerking O
van O
het O
ontwikkelings O
- O
perspectief O
van O
de O
Vierde O
nota O
voor O
het O
Groene B-spatial
Hart I-spatial
op O
zal O
stellen O
( O
p O
.29 O
) O
. O

Deze O
zal O
, O
met O
inachtneming O
van O
onder O
andere O
het O
bestaande O
selectieve O
woning O
- O
bouwbeleid O
, O
gericht O
zijn O
op O
toerisme O
/ O
recreatie O
, O
natuur O
, O
landbouw O
, O
landschap O
en O
milieu O
( O
hygiëne O
) O
. O

Volgens O
het O
beleidsvoornemen O
( O
p O
.187 O
, O
deel O
a O
) O
zouden O
ook O
de O
gemeenten O
rechtstreeks O
worden O
betrokken O
bij O
de O
nadere O
uitwerking O
; O
in O
deel O
d O
is O
hiervan O
geen O
sprake O
meer O
. O

In O
de O
dertig O
jaar O
, O
dat O
het O
begrip O
' O
Groene B-subject
Hart I-subject
' O
bestaat O
( O
het O
werd O
voor O
het O
eerst O
gebruikt O
in O
de O
nota O
' O
Westen O
des O
lands O
' O
, O
1958 O
, O
p O
.15 O
) O
, O
is O
er O
sprake O
van O
een O
eenzijdige O
dan O
wel O
een O
eenrichtings-benadering O
. O

In O
algemene O
zin O
kan O
gesteld O
worden O
, O
dat O
de O
ontwikkeling O
van O
het O
Groene B-subject
Hart I-subject
afhankelijk O
werd O
en O
wordt O
gesteld O
van O
die O
in O
de O
omliggende O
( O
grote O
) O
steden O
( O
Verstedelijkingsnota O
, O
deel O
d O
, O
1977 O
, O
p O
.46 O
) O
. O
. O
. O
_ O
_ O
. O

De O
conceptie O
wordt O
nagenoeg O
altijd O
gebruikt O
als O
tegenhanger O
c.q O
. O
contra-mal O
van O
de O
stedelijke O
Randstad O
. O

Het O
contrast O
met O
het O
stedelijk O
gebied O
( O
de O
gele O
- O
dingsfunctie O
) O
is O
de O
pijler O
waar O
het O
beleid O
voor O
het O
Groene B-spatial
Hart I-spatial
op O
rust O
. O

Een O
tweede O
eenzijdigheid O
is O
de O
' O
nadruk O
op O
het O
groene O
en O
blauwe O
, O
open O
karakter O
( O
de O
invulling O
met O
slechts O
groene O
' O
nutsfuncties O
' O
( O
landbouw O
, O
natuur O
, O
etc O
. O
) O
, O
de O
ecologische O
waarden O
en O
het O
karakteristieke O
landschap O
) O
. O

Een O
derde O
element O
in O
deze O
eenrichtings-benadering O
is O
het O
gegeven O
, O
dat O
met O
name O
het O
rijk O
deze O
benadering O
kleur O
geeft O
, O
datyhet O
beeld O
van O
en O
het O
beleid O
voor O
het O
gebied O
bepaald O
wordt O
door O
een O
visie O
van O
boven O
- O
en O
van O
buitenaf O
, O
door O
een O
externe O
zienswijze O
. O

Voor O
een O
ander O
beeld O
is O
weinig O
plaats O
. O

Het O
ISMH O
Deze O
eenrichtings-benadering O
van O
het O
Groene B-spatial
Hart I-spatial
zet O
zich O
voort O
in O
de O
voor O
- O
genomen O
nadere O
uitwerking O
. O

Het O
Intergemeentelijk O
Samenwerkingsorgaan O
Midden O
- O
Holland O
( O
ISMH O
) O
, O
een O
op O
grond O
van O
de O
Wet O
Gemeenschappelijke O
Regelingen O
3 O
functionerend O
samenwerkingsverband O
van O
zestien O
gemeenten O
in O
het O
gebied O
met O
en O
rond O
Gouda O
, O
was O
blijkens O
de O
inspraakreactie O
bepaald O
niet O
gelukkig O
met O
de O
behandeling O
van O
het O
Groene O
Hart O
in O
de O
Vierde O
nota O
. O

Uit O
de O
inspraakreacties O
van O
het O
Intergemeentelijk O
Overlegorgaan O
Rijnstreek O
, O
de O
Regionaal O
Economisch O
Overleggen O
Midden-Holland O
en O
Rijn O
- O
en O
Bollenstreek O
alsmede O
uit O
die O
van O
de O
gemeenten O
Gouda O
en O
Alphen O
a O
/ O
d O
Rijn O
kon O
vergelijkbare O
kritiek O
op O
de O
nota O
worden O
opgemaakt O
. O

Het O
ISMH O
vond O
niets O
terug O
over O
economische O
ontwikkelingen O
/ O
potenties O
in O
het O
Groene O
Hart O
. O

Bovendien O
bestaat O
er O
ook O
sterke O
samenhang O
met O
economische O
en O
afgeleide O
ontwikkelingen O
in O
de O
omringende O
stadsgewesten O
, O
hetgeen O
in O
de O
nota O
niet O
ter O
sprake O
komt O
. O
- O
Door O
onder O
andere O
het O
ISMH O
werd O
de O
formulering O
: O
" O
De O
landbouw O
is O
en O
blijft O
de O
belangrijkste O
drager O
van O
dit O
gebied O
, O
zcwel O
voor O
het O
economisch O
draagvlak O
als O
voor O
het O
beheer O
" O
( O
p O
.119 O
, O
deel O
a O
) O
onrealistisch O
geacht O
. O

Bepaald O
ontevreden O
was O
het O
ISMH O
ook O
over O
het O
niet O
( O
direct O
) O
betrokken O
worden O
van O
gemeenten O
bij O
de O
nadere O
uitwerking O
. O

Er O
groeide O
bij O
het O
ISMH O
gezien O
het O
voorgaande O
behoefte O
aan O
een O
meer O
integrale O
benadering O
van O
de O
toekomstige O
ruimtelijke O
ontwikkeling O
van O
de O
regio O
Midden-Holland O
( O
233.432 O
inw O
. O
per O
1 O
- O
1 O
- O
1989 O
) O
. O

Besloten O
werd O
een O
stage O
- O
onderzoek O
te O
laten O
uitvoeren O
. O

Het O
ISMH O
streeft O
bestuurlijk O
niet O
naar O
een O
gemeenschappelijke O
' O
Midden O
- O
Holland O
' O
- O
visie O
of O
een O
ruimtelijk O
plan O
voor O
de O
regio O
, O
maar O
opteert O
voor O
het O
volgen O
van O
de O
ontwikkelingen O
op O
dit O
vlak O
en O
het O
bundelen O
van O
de O
gemeen O
- O
telijke O
opvattingen O
. O

Op O
initiatief O
van O
schrijver O
dezes O
en O
in O
overleg O
met O
de O
betrokkenen O
bij O
het O
ISMH O
werd O
af O
gesproken O
een O
Groene B-subject
Hart-studie I-subject
te O
verrichten O
, O
met O
daarbinnen O
de O
nadruk O
op O
de O
grootste O
gemeenten O
. O

Juist O
, O
omdat O
de O
stem O
van O
de O
gemeenten O
in O
de O
discussies O
over O
en O
in O
het O
beleid O
voor O
het O
Groene B-subject
Hart I-subject
zo O
weinig O
dóórklinkt O
. O

Een O
belangrijk O
doel O
is O
, O
te O
bezién O
~ O
of O
en O
in O
hoeverre O
er O
in O
Groene B-subject
Hart I-subject
- O
verband O
gemeenschappelijkheid O
bestaat O
inzake O
de O
gewenste O
( O
toekomstige O
) O
ruimtelijke O
ordening O
. O

Besloten O
werd O
daartoe O
een O
enquête O
te O
houden O
onder B-inGroup
de I-inGroup
wethouders I-inGroup
ruimtelijke I-inGroup
ordening I-inGroup
van I-inGroup
de I-inGroup
grootste I-inGroup
gemeenten I-inGroup
. O

De O
visie O
van O
deze O
gemeenten O
, O
zowel O
op O
zichzelf O
als O
op O
het O
bovengemeentelijk O
vlak O
( O
Randstad O
, O
Groene O
Hart O
) O
wat O
betreft O
de O
toekomstige O
ruimtelijke O
ordening O
van O
vooral O
de O
' O
niet-groene O
' O
( O
wonen O
, O
werken O
, O
verzorging O
, O
mobiliteit O
) O
, O
maar O
ook O
de O
' O
groene O
' O
functies O
( O
landbouw O
, O
natuur O
en O
landschap O
, O
toerisme O
/ O
recreatie O
, O
milieu O
( O
hygiëne O
) O
) O
zou O
centraal O
moeten O
komen O
te O
staan O
in O
het O
onderzoek O
( O
zie O
verder O
par O
. O
1.1 O
) O
. O

( O
De O
stedelijke O
component O
van O
toerisme O
/ O
recreatie O
is O
begrepen O
onder O
de O
functie O
' O
verzorging O
/ O
voorzieningen O
' O
. O
) O

Inhoud O
van O
het O
verslag O
De O
Randstad O
( O
en O
daarmee O
ook O
het O
Groene B-spatial
Hart I-spatial
) O
staat O
in O
velerlei O
opzicht O
in O
het O
brandpunt O
van O
de O
belangstelling O
/ O
actualiteit O
. O

Vele O
( O
veranderende O
) O
ruimtelijke O
ontwikkelingen O
maken O
de O
behoefte O
groot O
aan O
aangepast O
( O
ruim O
- O
telijk O
) O
beleid O
. O

De O
Vierde O
nota O
is O
het O
regeringsantwoord O
op O
die O
vraag O
naar O
nieuw O
en O
aangepast O
( O
ruimtelijk O
) O
beleid O
. O

De O
Vierde O
nota O
staat O
niet O
op O
zichzelf O
, O
maar O
in O
een O
traditie O
van O
dertig O
jaar O
( O
ruimtelijk O
) O
Randstad O
- O
en O
dus O
ook O
Groene B-subject
Hart-beleid I-subject
. O

De O
Groene B-subject
Hart-benadering I-subject
van O
nu O
voert O
rechtstreeks O
terug O
op O
die O
uit O
1958 O
( O
nota O
' O
Westen O
des O
Lands O
' O
) O
. O

Om O
inzicht O
te O
verkrijgen O
in O
de O
ontwikkeling O
die O
daarin O
sindsdien O
heeft O
plaatsgevonden O
, O
en O
om O
het O
Vierde O
nota-beleid O
in O
perspectief O
te O
plaatsen O
, O
is O
voorafgaand O
aan O
de O
genoemde O
enquête O
een O
historische O
analyse O
uitgevoerd O
. O

De O
conclusies O
daaruit O
, O
het O
Vierde O
nota-beleid O
en O
enkele O
' O
externe O
' O
toekomst O
- O
beelden O
komen O
aan O
de O
orde O
in O
hoofdstuk O
2 O
( O
zie O
ook O
bijlage O
1 O
) O
. O

Hoofdstuk O
3 O
bevat O
een O
toelichting O
op O
de O
structuur O
van O
het O
onderzoek O
en O
de O
beschrijving O
van O
de O
resultaten O
van O
het O
gestructureerde O
interview O
. O

In O
hoofdstuk O
4 O
volgen O
de O
antwoorden O
op O
de O
probleemstellingsvragen O
. O

Naar O
aanleiding O
van O
de O
historische O
analyse O
en O
de O
enquête-resultaten O
worden O
. O
hoofdstuk O
5 O
enkele O
conclusies O
getrokken O
, O
en O
worden O
aanbevelingen O
gedaan O
een O
aangepaste O
benadering O
van O
en O
nadere O
planvorming O
voor O
de O
Randstad O
. O

H O
fdstuk O
1 O
bevat O
de O
probleemomschrijving O
( O
par O
. O
1.1 O
) O
en O
een O
verantwoording O
van O
de O
inrichting O
van O
het O
onderzoek O
( O
par O
. O
1.2 O
) O
. O
4 O
HOOFDSTUK O
1 O
: O
PROBT O
FEMCMSCHRIJVING O
EN O
VERANTWOORDING O
1.1 O
: O
Probleemomschrij O
ving O
Met O
de O
aanduiding O
' O
Groene O
Hart O
' O
wordt O
het O
gebied O
tussen O
de O
vier O
grote O
steden O
, I O
Amsterdam B-spatial
,  O
Den B-spatial
Haag I-spatial
,  O
Rotterdam B-spatial
en O
Utrecht B-spatial
, O
bedoeld O
. O

Het O
' O
Groene B-subject
Hart I-subject
' O
is O
een O
conceptie O
, O
het O
is O
een O
denkbeeldige O
constructie O
. O

Hoewel O
een O
territoriaal O
gegrondvest O
idee O
heeft O
het O
geen O
vaste O
begrenzing O
. O

Het O
is O
de O
naam O
voor O
een O
gebied O
met O
een O
overwegend O
open O
, O
groen O
( O
weide O
) O
en O
blauw O
( O
water O
) O
karakter O
. O

Het O
wordt O
in O
het O
rijksbeleid O
ook O
wel O
het O
' O
middenge B-spatial
- I-spatial
bied I-spatial
van I-spatial
de I-spatial
Randstad I-spatial
' O
genoemd O
en O
is O
een O
deel O
van O
de O
( O
centrale O
) O
open O
ruimte O
. O

Het O
' O
open O
' O
karakter O
wil O
geen O
landschapstype O
met O
vergezichten O
aangeven O
. O

" O
Het O
is O
een O
waardering O
' O
van O
de O
stad O
uit O
' O
voor O
het O
niet O
verstedelijkte O
gebied O
bij O
die O
stad O
" O
( O
Verstedelijkingsnota O
, O
deel O
a O
, O
1976 O
, O
p O
.83 O
) O
. O

Dit O
zogenaamde O
niet O
verstedelijkte O
gebied O
heeft O
een O
bevolkingsdichtheid O
die O
ligt O
boven O
het O
Nederlandse O
gemiddelde O
( O
503 O
resp O
. O
436 O
inw O
. O

/ O
km2 O
per O
1 O
- O
1 O
- O
1989 O
) O
en O
wordt O
gede O
- O
finieerd O
als O
bovenbeschreven O
op O
grond O
van O
het O
overheersende O
grondgebruik O
. O

Functies O
van O
het O
Groene O
Hart O
In O
deze O
zin O
is O
vooral O
de O
geledingsfunctie O
van O
het O
Groene O
Hart O
, O
de O
afwisse O
- O
ling O
met O
de O
stedelijke O
bebouwing O
, O
primair O
van O
belang O
. O

Daarmee O
is O
één O
van O
de O
voornaamste O
redenen O
gegeven O
om O
het O
Groene O
Hart O
te O
beschermen O
en O
niet O
bij O
het O
verstedelijkingsproces O
te O
betrekken O
( O
Verstedelijkingsnota O
, O
deel O
a O
, O
1976 O
, O
p O
.131 O
) O
. O

In O
het O
ruimtelijk O
beleid O
van O
de O
rijksoverheid O
is O
vanaf O
1958 O
( O
nota O
' O
Westen O
des O
Lands O
' O
) O
sprake O
van O
het O
behouden O
dan O
wel O
versterken O
van O
het O
onderscheid O
stedelijk O
gebied O
- O
open O
ruimte O
, O
ofwel O
van O
de O
contrastwerking O
van O
het O
relatief O
open O
, O
landelijk O
gebied O
ten O
opzichte O
van O
het O
stedelijk O
gebied O
( O
p O
.66 O
, O
Toelichtingsrapport O
) O
. O

Tegelijkertijd O
bepaalt O
deze O
open O
ruimte O
de O
identiteit O
van O
de O
Randstad O
, O
een O
groep O
zelfstandige O
steden O
, O
die O
Plesman O
al O
in O
de O
jaren O
' O
20 O
van O
deze O
naam O
voorzag O
, O
wegens O
hun O
ringvormige O
ligging O
ten O
opzichte O
van O
elkaar O
, O
en O
de O
waar O
- O
de O
die O
dit O
had O
voor O
een O
centraal O
gelegen O
luchthaven O
: O
het O
bindend O
element O
. O

Naast O
de O
wat O
abstracte O
geledingsfunctie O
van O
een O
' O
open O
ruimte O
' O
wordt O
in O
het O
rijksbeleid O
ook O
gesproken O
over O
de O
praktische O
' O
nutsfuncties O
' O
van O
een O
open O
ruimte O
: O
de O
agrarische O
functie O
, O
de O
recreatieve O
functie O
, O
natuurgebied O
of O
een O
ecologische O
/ O
landschappelijke O
functie O
( O
biologisch O
, O
natuur-wetenschappelijk O
, O
beleving O
van O
het O
open O
karakter O
) O
of O
mengvormen O
. O

Niet O
specifiek O
voor O
een O
open O
ruimte O
, O
maar O
wel O
van O
groot O
belang O
voor O
de O
plaatselijke O
bevolking O
in O
het O
Groene O
Hart O
( O
ca O
. O
een O
half O
miljoen O
mensen O
) O
zijn O
de O
' O
nutsfuncties O
' O
wonen O
, O
werken O
, O
verzorging O
en O
mobiliteit O
. O

Deze O
functies O
worden O
met O
betrekking O
tot O
het O
Groene O
Hart O
niet O
als O
zodanig O
opgevoerd O
. O

Ook O
anderszins O
is O
er O
in O
de O
achtereenvolgende O
ruimtelijke O
rijksnota's O
weinig O
tot O
geen O
aandacht O
voor O
. O

In O
en O
door O
de O
benadrukking O
van O
het O
contrast O
stedelijk O
gebied O
- O
epen O
ruimte O
in O
de O
ruimte O
! O

i O
jke O
rijksnota's O
werden O
/ O
worden O
de O
verschillen O
ertussen O
groter O
aangezet O
dan O
ze O
zijn O
. O

Maar O
alle O
voornemens O
en O
mooie O
woorden O
ten O
spijt O
is O
de O
verstedelijking O
niet O
aan O
het O
Groene O
Hart O
voorbijgegaan O
. O

" O
Het O
patroon O
van O
de O
gebundelde O
deconcentratie O
is O
onvoldoende O
tot O
stand O
gekomen O
. O

Onder O
invloed O
van O
de O
suburbanisatie O
is O
de O
centrale O
open O
ruimte O
tussen O
de O
stedelijke O
zones O
aangetast O
" O
( O
Oriënteringsnota O
, O
deel O
e O
, O
1979 O
, O
p O
.24 O
) O
. O

Hiermee O
is O
het O
' O
verhaal O
' O
niet O
ten O
einde O
. O

Aan O
de O
vooravond O
van O
de O
jaren O
' O
90 O
komen O
vele O
( O
nieuwe O
) O
ontwikkelingen O
in O
versneld O
tenpo O
op O
mens O
en O
ruimte O
af O
. O

Tegelijkertijd O
is O
ook O
het O
( O
ruimtelijk O
) O
beleid O
in O
beweging O
. O

De O
Vierde O
nota O
over O
de O
ruimtelijke O
ordening O
is O
het O
regeringsantwoord O
op O
verander O
( O
en O
) O
de O
omstandigheden O
. O

En O
men O
wil O
verder O
kijken O
. O

' O
Nederland O
in O
2015 O
, O
daar O
wordt O
nu O
aan O
gewerkt O
' O
, O
is O
daarom O
het O
motto O
van O
de O
nota O
. O

De O
opvatting O
heerst O
alom O
, O
dat O
deze O
nota O
meer O
dan O
al O
zijn O
voorgangers O
strookt O
met O
wat O
bedrijven O
en O
huishoudens O
wensen O
. O

Of O
de O
